Global Entity\,Logistics Area,Source,SF Status Raw, Vendor name,Vendor Grade,City,Address,Latitude,Longitude,Phone,Main Cuisine,Lead ID,Accuracy,Status ,Handler email,GRID
HS_SA,logistics,keeta,No Match,Akbar Al Bukhari Restaurant,null,Riyadh,"Badr, Al Imam Malik Rd, Riyadh 14724",24.5486,46.707,null,"Arabic, Saudi",453255,Invalid lead (Add reason),Already exist,Bandar Alshathri,HA7S0F
HS_SA,logistics_proximity,keeta,No Match,Al Baraka Bukhari Restaurant,null,Riyadh,"Arafat Rd، 4451 7244 فتح مكة, Riyadh 14724",24.5402,46.7132,null,"Arabic, Saudi, Meat, Bokhari",469890,Invalid lead (Add reason),Already exist,Ahmed khalil,HRBMVS
HS_SA,logistics_proximity,keeta,No Match,Al Zalal Restaurant,null,Riyadh,"3751 7503 Prince Mamduh Bin Abdulaziz St, As Sulimaniyah, Riyadh 12242",24.7101,46.6926,+966112786671,"Asian, Pakistani, Fine Dining, Meat, Local Flavors",489464,Invalid lead (Add reason),Duplicate,Mohammad Nasreddin,
HS_SA,logistics,keeta,No Match,Alam Althura Markets Almajd,null,Riyadh,"4210 Eastern Ring Branch Rd, Ar Rabwah, 6838, Riyadh 12839, Saudi Arabia",24.6799,46.7761,null,"Dessert, Snacks",492730,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,4CUZPO
HS_SA,sales,keeta,No Match,Alstuor,null,Riyadh,"JQ33+JG7, Al Mansourah, Riyadh 12694, Saudi Arabia",24.6041,46.7538,null,"Fast Food, Shawarma, Meat",580340,Invalid lead (Add reason),Already exist,Bandar Alshathri,4CJ71O
HS_SA,logistics_proximity,keeta,No Match,Amust Burger&More,null,Al-Kharj,"8193 Qadri Touqan, 4564, Granada District, Al-Kharj 16272, Saudi Arabia",24.1372,47.2759,null,"Fast Food, Burger",486225,Invalid lead (Add reason),Already exist,Ahmed khalil,HZXYHI
HS_SA,logistics,keeta,No Match,Anwaar Al Shawaya,null,Riyadh,"7338 Prince Sultan Bin Abdulaziz Rd, 3039, Riyadh 12221",24.6923,46.6942,null,"Arabic, Saudi, Grill, Meat, Seafood/Grill",561037,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,HAGA7N
HS_SA,sales,keeta,No Match,Anwaar Grill,null,Riyadh,Anwaar,24.6711,46.7338,null,"Arabic, Saudi, Mandi, Gathering, Bokhari",469642,Invalid lead (Add reason),Already exist,Mohamed Zeidan ,HAGA7N
HS_SA,sales,keeta,No Match,Anwar Dunia Broasted,null,Al-Kharj,"Az Zahir, Al-Kharj 16545",24.1473,47.3588,null,"Fast Food, Fried Chicken",584087,Invalid lead (Add reason),Already exist,Ahmed khalil,HR30VK
HS_SA,logistics_proximity,keeta,No Match,Anwar Duniya Broasted,null,Al-Kharj,"King Saud Rd, Street, Al-Kharj 16271",24.1285,47.2774,null,"Fast Food, Fried Chicken",495966,Invalid lead (Add reason),Already exist,Ahmed khalil,HR30VK
HS_SA,logistics_proximity,keeta,No Match,Béchamel Restaurant,null,Riyadh,"Abi Bakr As Siddiq Rd, Al Mursilat, Riyadh 12462",24.7469,46.7014,null,"Italian, Pasta, Fine Dining, Vegetarian",476469,Invalid lead (Add reason),Already exist,Mohammed Hassan,HA9BU6
HS_SA,logistics,keeta,No Match,Chai Walim,null,Riyadh,"3188 King Abdullah Branch Rd, 6214, An Nuzhah, Riyadh 12471, Saudi Arabia",24.7462,46.7065,null,"Beverages, Tea, Indian, Gathering, International",583608,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,HADJAO
HS_SA,sales,keeta,No Match,Dweira Restaurant,null,Al-Kharj,"16439 King Fahd Rd, Al Muntazah, Al-Kharj, Saudi Arabia",24.1606,47.3285,null,"Fast Food, Sandwich, Breakfast",472640,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,HAWRTB
HS_SA,logistics,keeta,No Match,Falafel Dar Arfa,null,Riyadh,"Al Aziziyah Rd,Ad Dar AL Baida,Riyadh 11564",24.5579,46.7948,null,"Arabic, Saudi, Egyptian, Breakfast, Arabic",482862,Invalid lead (Add reason),Already exist,Bandar Alshathri,4FBZ8Y
HS_SA,sales,keeta,No Match,fish auction center and restaurant,null,Riyadh,"Al Khalifah Al Mountasir Billah, Ar Rawabi, Riyadh 14215, Saudi Arabia",24.6922,46.7773,null,"Seafood/Grill, Seafood, Local Flavors, Gathering",486358,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,HWEF7E
HS_SA,logistics,keeta,No Match,Gloria Jean’s,null,Riyadh,"Fatimah Al Zahraa, 3610, Jarir, Riyadh, 12833",24.6806,46.7421,null,"Beverages, Coffee",469808,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,4CMYE7
HS_SA,sales,keeta,No Match,Hak Fol,null,Al-Kharj,"5884+2MH in front of Al-Worood Avenue Complex, Al-Worood District, Al-Kharj 16278",24.1651,47.3067,null,"Arabic, Falafel, Breakfast, Local Flavors",561324,Invalid lead (Add reason),Already exist,Mohammed Bin Huwayshil,HREL4Z
HS_SA,logistics_proximity,keeta,No Match,ili PIZZA,null,Riyadh,"Ash Shaikh Abdullah Al Anqari, Al Wurud, Riyadh 12252",24.7257,46.6836,null,"Italian, Pizza, Gathering, Fine Dining",566946,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,HWIUFY
HS_SA,sales,keeta,No Match,Inah Grill,null,Riyadh,"6766 Abu Bakr Alrazi Street, As Sulimaniyah, RHSC3313, 3313, Riyadh 12231",24.6903,46.7119,null,"Seafood/Grill, Seafood, Japanese, Asian",570837,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,4CCFDW
HS_SA,logistics,keeta,No Match,Jabourih,null,Riyadh,"Umar Ibn Abdul Aziz Br Rd, Ar Rabwah, Riyadh 12834, Saudi Arabia",24.6892,46.7584,null,"Dessert, Pastries, Fine Dining, Gathering",472265,Invalid lead (Add reason),Already exist,Ahmed khalil,HA7C6L
HS_SA,logistics_proximity,keeta,No Match,Kanz Alshawayah,null,Riyadh,"7169 Prince Sultan Bin Salman Bin Abdulaziz St, Ar Rahmaniyyah, Riyadh 12251, Saudi Arabia",24.7241,46.6761,null,"Arabic, Saudi, Mandi, Bokhari, Local Flavors",583541,Invalid lead (Add reason),Already exist,Bandar Alshathri,4FBU6H
HS_SA,logistics,keeta,No Match,Kanz Alshawayah,null,Riyadh,"Mohammad Rashid Rida, Al Aziziyah, Riyadh 14515, Saudi Arabia",24.5807,46.7542,null,"Fast Food, Sandwich, Breakfast",449534,Invalid lead (Add reason),Duplicate,Bandar Alshathri,4FBU6H
HS_SA,logistics_proximity,keeta,No Match,Kareem meat restaurant,null,Al-Kharj,"حي الزاهر، OAGD7077، 7077 الامير ناصر بن عبد العزيز، 2905, Al-Kharj 16438",24.1344,47.3472,null,"Arabic, Saudi, Shawarma, Meat, Fast Food",600830,Invalid lead (Add reason),Already exist,Mohammed Bin Huwayshil,HAXGW9
HS_SA,logistics,keeta,No Match,Kunafa Ether,null,Riyadh,"7991-8000 Al Khalifah Al Maamoun, Badr, Riyadh 14724, Saudi Arabia",24.5465,46.7073,null,"Dessert, Pastries, Coffee, Beverages",469696,Invalid lead (Add reason),Already exist,Bandar Alshathri,HWSJHO
HS_SA,sales,keeta,No Match,Luqma Kunafa,null,Riyadh,"Al Zoubair Ibn Al Awwam, Al Rawabi, Riyadh 14215, Saudi Arabia",24.6879,46.7787,null,"Dessert, Pastries",583738,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,HR8AX1
HS_SA,sales,keeta,No Match,Mandi Riyof Al Kharj Restaurant,null,Al-Kharj,"37VG+63W, Mishrif, Al-Kharj 16249",24.1103,47.2822,null,"Arabic, Saudi, Local Flavors, Mandi",597298,Invalid lead (Add reason),Already exist,Bandar Alshathri,4CX2A7
HS_SA,logistics,keeta,No Match,Mazaq Al-Tawagen,null,Riyadh,"مطعم ومشويات مذاق الطواجن المصرى، 3821 منفوحة الشارع العام, Riyadh",24.6178,46.7237,null,"Fast Food, Fried Chicken",469844,Invalid lead (Add reason),Duplicate,Mohammad Nasreddin,
HS_SA,sales,keeta,No Match,Mirzas Fast Food,null,Riyadh,"Bakery Masjid, Al Wizarat, Dahran Al Janoob Road 3285 Opp, Riyadh 12626",24.6687,46.7124,null,"International, Indian, Meat",610428,Invalid lead (Add reason),Already exist,Bandar Alshathri,HWUF53
HS_SA,logistics,keeta,No Match,our  spicy falafel,null,Riyadh,"HQRG+894، العزيزية،, Riyadh",24.5908,46.7759,null,"Italian, Pizza",584018,Invalid lead (Add reason),Already exist,Mohamed Zeidan ,HWV6OH
HS_SA,logistics,keeta,No Match,Plant,null,Riyadh,"MQGC+RG Al Safa, Riyadh",24.6771,46.7713,null,"Dessert, Arabic Sweets, Gathering",584234,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,4CJE79
HS_SA,logistics,keeta,No Match,Qimma Al-Siriya,null,Riyadh,"2916 Hamad Ibn Laaboun، 6922-6887, Riyadh 12665",24.6194,46.7263,null,"Fast Food, Sandwich, Fine Dining, Meat",584217,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,HREK1A
HS_SA,sales,keeta,No Match,Sallah Shai,null,Riyadh,"MPQ7+VCC حي, Abu Bakr Alrazi St, As Sulimaniyah, Riyadh 12231, Saudi Arabia",24.6897,46.7135,null,"Beverages, Tea",590672,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,HADY57
HS_SA,logistics,keeta,No Match,Sea Shells,null,Riyadh,"Ash Shifa, Riyadh 14713, Saudi Arabia",24.5636,46.7053,null,"Seafood/Grill, Seafood",456548,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,4FB7NC
HS_SA,logistics,keeta,No Match,Shaghaf Cup,null,Al-Kharj,"47PG+V65, King Abdullah Road, Al Khuzama, Al-Kharj 16272, Saudi Arabia",24.1618,47.299,null,"Beverages, Coffee, Breakfast",580721,Invalid lead (Add reason),Already exist,Bandar Alshathri,HWX5AU
HS_SA,logistics,keeta,No Match,Shahi Fel Mokh,null,Riyadh,"Taif St, Dhahrat Laban, Riyadh 12553",24.6537,24.6537,null,"Beverages, Tea, Saudi Coffee, Breakfast",486319,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,HRE5M1
HS_SA,logistics_proximity,keeta,No Match,Shalimar Restaurant,null,Riyadh,"2113 Makkah Al Mukarramah Br Rd, As Sulimaniyah, Riyadh 12621",24.6678,46.7117,null,"Asian, Pakistani, Saudi, Meat, Arabic",463287,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,HANHE1
HS_SA,sales,keeta,No Match,Sharqeah,null,Riyadh,"8553 Salah Ad Din Al Ayyubi Branch Rd, Al Safa, 4307, Riyadh 12853, Saudi Arabia",24.6771,46.7713,null,"Fast Food, Sandwich",489478,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,4C0VH1
HS_SA,sales,keeta,No Match,Shawarma King,null,Al-Kharj,588M+8G3 Jaw Mall، العالية، الخرج 16439,24.1657,47.3338,null,"Fast Food, Shawarma",600569,Invalid lead (Add reason),Already exist,Ahmed khalil,4FI7GQ
HS_SA,logistics_proximity,keeta,No Match,Shawarma King,null,Al-Kharj,"Prince Sultan Bin Abdulaziz Branch Rd, Al Faysaliyah, Al-Kharj 16439, Saudi Arabia",24.1522,47.3541,null,"Fast Food, Shawarma",463196,Invalid lead (Add reason),Already exist,Ahmed khalil,4FI7GQ
HS_SA,logistics,keeta,No Match,Shawarma King,null,Al-Kharj,5842+CH8، البرج، الخرج 16278,24.1563,47.3015,null,"Fast Food, Shawarma",462878,Invalid lead (Add reason),Already exist,Ahmed khalil,4FI7GQ
HS_SA,logistics_proximity,keeta,No Match,Shawarma Kooz,null,Al-Kharj,"4221 Badi Al-Zaman Al-Hamdani, Al-Nahdah District, Al-Kharj 16439",24.1517,47.3546,null,"Fast Food, Shawarma, Local Flavors",463093,Invalid lead (Add reason),Already exist,Ahmed khalil,4FBKZC
HS_SA,logistics_proximity,keeta,No Match,Starbucks® -,null,Al-Kharj,King Abdulaziz RD Alkharj,24.1918,47.2771,null,"Beverages, Coffee",468890,Invalid lead (Add reason),Already exist,Bandar Alshathri,4F668U
HS_SA,logistics,keeta,No Match,Talab Kebda,null,Riyadh,"RCCA3478 7201 Manfuhah, Skirinah, 3478, Riyadh 12654",24.6153,46.7204,null,"Arabic, Egyptian",486317,Invalid lead (Add reason),Already exist,Mohamed Zeidan ,HAP8ZY
HS_SA,sales,keeta,No Match,Teller,null,Riyadh,"الستين, الشفا شارع, Riyadh",24.5509,46.6988,null,"Beverages, Coffee, Chocolate, Breakfast, Dessert",594129,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,HAMMCB
HS_SA,logistics_proximity,keeta,No Match,The Pasta Guyz,null,Riyadh,"7527 Khafiya Valley, 2960, Badr, Riyadh 14718, Saudi Arabia",24.542,46.7256,null,"Italian, Pasta",581046,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,4CJEEF
HS_SA,sales,keeta,No Match,Tikka Corner,null,Riyadh,"Jarir St, Al Malaz, Riyadh 12831",24.6712,46.7341,null,"International, Indian, Meat, Fine Dining",590754,Invalid lead (Add reason),Already exist,Mohamed Zeidan ,HR6N3L
HS_SA,sales,keeta,No Match,Top Tasting Pizza and Pasta,null,Riyadh,"3989 Prince Mohammed Bin Saud Bin Faisal, Al Khalidiyyah, Riyadh 12874 7807, Al Khalidiyyah, Riyadh 12874, Saudi Arabia",24.6289,46.7562,null,"Italian, Pizza, Pasta, Meat, Gathering, Italian",573610,Invalid lead (Add reason),Already exist,Bandar Alshathri,4F6O1P
HS_SA,logistics_proximity,keeta,No Match,Top Tasting Pizza and Pasta,null,Riyadh,"Al Shabab, Al Aziziyah, Riyadh 14512, Saudi Arabia",24.5971,46.7555,null,"Italian, Pizza, Pasta, Italian",583458,Invalid lead (Add reason),Duplicate,Bandar Alshathri,
HS_SA,logistics_proximity,keeta,No Match,Torta and More,null,Riyadh,"Jarir, Riyadh 12833, Saudi Arabia",24.6862,46.749,null,"Fast Food, Sandwich",479452,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,4FBM5R
HS_SA,sales,keeta,No Match,Usthad Family Restaurant,null,Riyadh,"3901 Prince Mohammed Bin Abdulrahman Bin Abdulaziz, 3901, As Sali, 8511, Riyadh 14322",24.6391,46.8443,null,"Arabic, Saudi",496206,Invalid lead (Add reason),Duplicate,Ahmed khalil,
HS_SA,sales,keeta,No Match,Wagyu Burger,null,Riyadh,JP3J+WX5، المنصورة، الرياض 12684، المملكة العربية السعودية,24.6035,46.7344,null,"Fast Food, Burger, Gathering, American",483007,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,4C48UL
HS_SA,logistics_proximity,keeta,No Match,Ward Saif Al Hindi,null,Riyadh,طريق الأمير سعد بن عبدالرحمن الأول، الجزيرة، الرياض 13350,24.6821,46.7867,null,"Asian, Pakistani",570941,Invalid lead (Add reason),Already exist,Ahmed khalil,4FB0YG
HS_SA,logistics,keeta,No Match,Wirsa Restaurant,null,Riyadh,"Haroon Al Rashid Rd, As Sulay, Riyadh 14264, Saudi Arabia",24.658,46.8122,null,"Asian, Pakistani, Meat",450082,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,HA0YB4
HS_SA,sales,keeta,No Match,Yemeni Traditional Restaurant,null,Riyadh,"HQWF+H9F Al Aziziyah, 利雅得",24.5967,46.7734,null,"Arabic, Saudi, Local Flavors",476285,Invalid lead (Add reason),Already exist,Ahmed khalil,HAW09D
HS_SA,sales,keeta,No Match,Zad Al Aryaf Pizza,null,Al-Kharj,"59GC+QG7، الصفوة الثاني،, Secondal Safwa, Al-Kharj 16441،",24.1774,47.3713,null,"Italian, Pizza, Gathering",465674,Invalid lead (Add reason),Already exist,Mohammed Hassan,4F2DKL
HS_SA,logistics,keeta,No Match,Zad Al Aryaf Pizza,null,Al-Kharj,"Al-Sahab District, Al-Kharj 16442",24.1456,47.3806,null,"Italian, Pizza, Gathering",580756,Invalid lead (Add reason),Already exist,Mohammed Hassan,4F2DKL
HS_SA,sales,keeta,No Match,Zad Al Aryaf Pizza,null,Al-Kharj,"7016 Az Zubair Ibn Al Awwam, Al Faysaliyah, 3438 40, Al-Kharj 16441, Saudi Arabia",24.16,47.356,null,"Italian, Pizza, Meat, American",449906,Invalid lead (Add reason),Already exist,Mohammed Hassan,4F2DKL
HS_SA,sales,keeta,No Match,Zad Al Aryaf Pizza,null,Al-Kharj,"568Q+MWQ, Al Hayathem 16256",24.1667,47.2399,null,"Italian, Pizza, Gathering",567655,Invalid lead (Add reason),Already exist,Mohammed Hassan,4F2DKL
HS_SA,logistics,keeta,No Match,Zad Al Aryaf Pizza,null,Al-Kharj,"9199 King Abdullah Road, Al Aliyah, OAJA 3697, Al-Kharj 16441",24.167,47.3528,null,"Italian, Pizza",449939,Invalid lead (Add reason),Already exist,Mohammed Hassan,4F2DKL
HS_SA,logistics,keeta,No Match,Zad Al Aryaf Pizza,null,Al-Kharj,"Mishrif, Al-Kharj 16432",24.1048,47.2936,null,"Italian, Pizza",479549,Invalid lead (Add reason),Already exist,Mohammed Hassan,4F2DKL
HS_SA,logistics_proximity,keeta,No Match,Zad Al Mathaq Pizza,null,Al-Kharj,"3413 Abu Asim, 3413, Al Faysaliyah, Al-Kharj 16441, Saudi Arabia",24.1608,47.3557,null,"Fast Food, Pie",466646,Invalid lead (Add reason),Already exist,Mohammed Hassan,4F2DKL
HS_SA,logistics,keeta,No Match,Zaiqa Restaurant,null,Riyadh,"JPQC+9X Thulaim, Riyadh",24.6384,46.7224,null,"International, Indian",489497,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,HRHDOQ
HS_SA,sales,keeta,No Match,تراينقل سويت,null,Riyadh,"3001 Al Souweidi Al Aam, As Suwaidi, Riyadh 12794",24.587,46.6679,null,"Dessert, Pastries",450147,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,4COBEU
HS_SA,sales,keeta,No Match,تكالافا,null,Al-Kharj,"Mosque, An Nuzhah, Al-Kharj, Saudi Arabia",24.1608,47.3461,null,"Fast Food, Sandwich",492984,Invalid lead (Add reason),Already exist,Mohammed Hassan,HRG69U
HS_SA,logistics,keeta,No Match,ذا رد باستا كَب,null,Riyadh,"RBBA4438، 4438، 7062 Al Madina Al Munawwarah Rd, Dhahrat Al Badi’ah, Riyadh 12972, Saudi Arabia",24.5978,46.6388,null,"Italian, Pasta",610623,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,4C2QOH
HS_SA,sales,keeta,No Match,ذا رد باستا كَب,null,Riyadh,"QP68+C8R, Saad Ibn Ayyub, An Nuzhah, Riyadh 12474, Saudi Arabia",24.7611,46.7158,null,"Italian, Pasta",466691,Invalid lead (Add reason),Duplicate,Mohammad Nasreddin,
HS_SA,sales,keeta,No Match,مقلوبة ® | Maqloba,null,Riyadh,"King Abdullah Rd, St, Al-Kharj 16272",24.1307,47.2675,null,"Arabic, Saudi, Local Flavors",476356,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,HR9N3L